Field String ID
Field String Data

; Class names.

FIGHTER         "ファイター"
WIZARD          "ウィザード"
THIEF           "シーフ"

; Item names.

BOOTS           "逃走のブーツ"
WINGED_SANDALS  "エルメスのサンダル"
TUNDRA_BOOTS    "ツンドラトカゲのブーツ"

LEATHER_ARMOR   "レザーアーマー"
BREASTPLATE     "胸当て"
CLOAK           "敏捷な悪党のマント"
FULL_PLATE_MAIL "フルプレートメイル"

RING            "知性のリング"
AMULET          "悟りのアミュレット"
GEMMED_AMULET   "神秘のアミュレット"
GEMMED_RING     "ルビーのリング"

CAP             "忍耐のキャップ"
HELM            "頑丈なヘルム"
FULL_HELM       "活力のフルヘルム"
GOLDEN_HELM     "黄金のキングヘルム"

GLOVE           "機敏のグローブ"
BRACELET        "アキレスのブレスレット"
GAUNTLET        "頑強なガントレット"

DAGGER          "ダガー"
SHORT_SWORD     "ショートソード"
STAFF           "スタッフ"
LONG_SWORD      "ロングソード"
AXE             "アックス"
BATTLE_AXE      "強靭な戦斧"
RUNE_SWORD      "ルーンソード"
MACE            "野獣のメイス"
CLAYMORE        "クレイモア"
BROAD_SWORD     "マサムネ"

; Potions.

RED_POTION      "ポーション"
PURPLE_POTION   "マナポーション"
BLUE_POTION     "エレファントD"
GREEN_POTION    "タイガー一発"
YELLOW_POTION   "コカカクテル"

; Spells.

BERSERK         "バーサク"
BLESS_WEAPON    "ブレスウェポン"
HASTE           "ヘイスト"
SHADOW_WALK     "シャドウウォーク"
STONE_SKIN      "ストーンスキン"
BLINK           "ブリンク"
MAGIC_ARMOR     "マジックアーマー"
REVEAL_MAP      "マップ"
HEAL            "ヒール"

FREEZE          "フリーズ"
FIREBALL        "ファイヤーボール"
ENFEEBLE_MONSTER "ウィーク"
CHARM_MONSTER   "チャーム"
POLYMORPH       "トランスフォーム"
SLEEP           "スリープ"
FEAR            "フィアー"

MAGIC_MIRROR    "マジックミラー"
TELEPORT        "テレポート"

; Mobs.

BANDIT_CAPTAIN  "キャプテン"
BANDIT          "バンディット"

KOBOLD_SPEAR    "スピア・コボルト"
KOBOLD          "コボルト"
KOBOLD_MAGE     "コボルト・トリックスター"

SUCCUBUS        "サキュバス"
SUCCUBUS_WHIP   "ドミナトリックス"

SPIDER          "スパイダー"
SPIDER_RED      "ブラック・ウィドウ"
SPIDER_GRAY     "ウルフ・スパイダー"

APE             "エイプ"
APE_DEMONIC     "デーモン・エイプ"

ELEMENTAL_AIR     "エア・エレメンタル"
ELEMENTAL_NATURE  "ネイチャー・エレメンタル"
ELEMENTAL_SORCERY "ソーサリー・エレメンタル"
ELEMENTAL_CHAOS   "カオス・エレメンタル"

WEREWOLF        "ウェアウルフ"

MINOTAUR        "ミノタウロス"

; Misc.

CHEST           "宝箱"

; Statistics
"damage"         "ダメージ"
"attack"          "攻撃"
"defense"           "防御"
"life"           "ライフ"
"vitality"           "活力"
"speed"         "スピード"
"spirit"           "精神"

; Special effects
"damage multiplier" "クリティカル"
"charm"                "チャーム"
"fear"              "フィアー"
"sleep"              "スリープ"
"heal"                "ヒール"
"charge"              "チャージ"

; Ingame messages.
STAT_HEALTH          "体力"
STAT_ATTACK          "攻撃力"
STAT_DEFENSE         "防御力"
STAT_LIFE            "生命"
STAT_VITALITY        "活力"
STAT_SPEED           "スピード"
STAT_SPIRIT          "精神"

PREFIX_SUPERB        "上級の"
PREFIX_WONDROUS      "とびきりの"
PREFIX_MAGICAL       "魔法の"

UI_LEVEL             "レベル"
UI_TIMES             "x"
UI_FLOOR             "フロア"
UI_MAP               "マップ"
UI_INV               "持ち物"
UI_CHAR              "ステータス"
UI_DAMAGE            "\nダメージ\n\n"
UI_DESTROY           "破壊"

POPUP_C              "[ショートカットキー C]"
POPUP_I              "[ショートカットキー I]"
POPUP_M              "[ショートカットキー M]"
POPUP_0              "[ショートカットキー 0]"
POPUP_1              "[ショートカットキー 1]"
POPUP_2              "[ショートカットキー 2]"
POPUP_3              "[ショートカットキー 3]"
POPUP_4              "[ショートカットキー 4]"
POPUP_5              "[ショートカットキー 5]"
POPUP_6              "[ショートカットキー 6]"
POPUP_7              "[ショートカットキー 7]"
POPUP_8              "[ショートカットキー 8]"
POPUP_9              "[ショートカットキー 9]"
POPUP_ENTER          "[ショートカットキー enter]"
POPUP_ESC            "[ショートカットキー ESC]"
POPUP_F1             "[ショートカットキー F1]"

POPUP_RECOVERED      "回復"
POPUP_EXPIRED        "すり減る"
POPUP_MIRROR         "ミラー"
POPUP_MIRROR_EXPIRED "粉々になった"
POPUP_INVIS_EXPIRED  "再出現した"
POPUP_EFFECT_EXPIRED "尽きる"
POPUP_INVIS_BREAK1   "透明な"
POPUP_INVIS_BREAK2   "出現!"
POPUP_INVIS_BROKEN   "あなたが再出現"
POPUP_CHARM_BREAK    "チャームが破られた!"
POPUP_FEAR_BREAK     "フィアーが破られた!"
POPUP_BACKSTAB       "裏切り!"
POPUP_BUMP1          "あなたがぶつかったのは透明な"
POPUP_BUMP2          "。"
POPUP_BUMPED         "見つかった!"
POPUP_INVIS          "消えた"
POPUP_HEALED         "回復した"
POPUP_CHARGED        "チャージされた"
POPUP_CHARM          "チャーム"
POPUP_FEAR           "フィアー"
POPUP_SLEEP          "スリープ"
